applicant_id,gender,age,income,credit_score,loan_approved
1,Female,29,42000,650,0
2,Male,35,58000,700,1
3,Female,41,61000,720,1
4,Male,26,39000,610,0
5,Female,33,45000,640,0
6,Male,52,72000,740,1
7,Female,28,51000,690,1
8,Male,44,63000,710,1
9,Female,37,48000,660,0
10,Male,31,55000,680,1
11,Female,25,36000,600,0
12,Male,39,67000,730,1
13,Female,46,59000,700,1
14,Male,22,32000,590,0
15,Female,34,44000,630,0
16,Male,48,70000,750,1
17,Female,30,47000,650,0
18,Male,27,41000,620,0
19,Female,43,64000,715,1
20,Male,36,60000,705,1
21,Female,32,43000,635,0
22,Male,29,54000,675,1
23,Female,38,49000,655,0
24,Male,41,66000,725,1
25,Female,45,62000,710,1
26,Male,24,38000,605,0
27,Female,27,40000,615,0
28,Male,33,57000,690,1
29,Female,49,65000,720,1
30,Male,50,71000,745,1
